id,creditability,account_balance,duration_of_credit_month,payment_status_of_previous_credit,purpose,credit_amount,value_savings_stocks,length_of_current_employment,instalment_per_cent,sex_marital_status,guarantors,duration_in_current_address,most_valuable_available_asset,age_years,concurrent_credits,type_of_apartment,no_of_credits_at_this_bank,occupation,no_of_dependents,telephone,foreign_worker,new_column,model_version
6299,0,3,12,4,0,939,3,4,4,4,1,2,1,28,3,2,3,3,0,1,0,True,28
2707,1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,0,1,0,True,28
8794,1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,0,1,0,True,28
1387,1,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,0,1,0,True,28
3283,1,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,0,1,0,True,28
572,0,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,0,1,0,True,28
6022,1,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,0,1,0,True,28
6619,1,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,0,1,0,True,28
6182,1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,0,1,0,True,28
6314,1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,0,1,0,True,28
7284,1,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,0,1,0,True,28
9096,1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,0,1,0,True,28
4211,0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,0,1,0,True,28
7204,0,1,18,2,3,1882,1,3,4,2,1,4,3,25,1,1,2,3,0,1,0,True,28
8505,0,4,15,2,6,4623,2,3,3,3,1,2,2,40,3,2,1,4,0,1,0,True,28
2141,1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,0,1,0,True,28
4624,0,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,0,1,0,True,28
6269,1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,0,1,0,True,28
2680,1,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,0,1,0,True,28
7929,1,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,0,1,0,True,28
7909,1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,0,1,0,True,28
9029,1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,0,1,0,True,28
8090,0,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,0,1,0,True,28
6089,1,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,0,1,0,True,28
7681,1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,0,1,0,True,28
3931,1,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,0,1,0,True,28
8601,0,1,18,1,0,1442,1,4,4,3,1,4,4,32,1,3,2,2,1,1,0,True,28
3880,0,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,0,1,0,True,28
8240,1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,0,1,1,True,28
9188,0,1,18,2,1,7511,5,5,1,3,1,4,2,51,3,3,1,3,1,1,0,True,28
9948,1,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,0,1,0,True,28
9394,0,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,0,1,0,True,28
9431,0,2,36,3,0,8086,2,5,2,3,1,4,3,42,2,2,4,4,0,1,0,True,28
1842,1,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,0,1,0,True,28
494,0,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,0,1,0,True,28
6240,1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1,True,28
9416,0,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,0,1,0,True,28
8217,1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,1,1,1,True,28
2584,0,1,33,4,2,4281,3,3,1,2,1,4,3,23,3,2,2,3,0,1,0,True,28
6444,1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,0,1,0,True,28
4996,1,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,1,1,0,True,28
1853,1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,0,1,0,True,28
8888,0,1,24,2,0,3123,1,2,4,2,1,1,2,27,3,2,1,3,0,1,0,True,28
663,1,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,0,1,0,True,28
8953,1,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,0,1,0,True,28
9978,0,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,0,1,0,True,28
9016,1,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,0,1,0,True,28
3760,1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,0,1,0,True,28
3482,0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,0,1,0,True,28
1048,0,1,24,2,0,4817,1,4,2,3,2,3,2,31,3,2,1,3,0,1,0,True,28
6006,1,3,24,2,3,1258,3,3,3,2,1,3,3,57,3,2,1,2,0,1,0,True,28
357,1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,1,1,0,True,28
8496,1,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,0,1,0,True,28
9938,1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,0,1,0,True,28
4390,1,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,0,1,0,True,28
1770,1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,0,1,0,True,28
6148,1,4,10,2,0,1418,2,3,3,3,1,2,1,35,3,1,1,2,0,1,1,True,28
396,0,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,0,1,0,True,28
198,1,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,0,1,0,True,28
2658,1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,0,1,0,True,28
13,1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,1,1,0,True,28
6290,1,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,0,1,0,True,28
1607,1,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,0,1,0,True,28
1428,1,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,0,1,0,True,28
5682,0,1,42,3,3,4370,1,4,3,3,1,2,2,26,1,2,2,3,1,1,0,True,28
7427,1,4,22,2,0,1283,5,4,4,2,1,4,2,25,3,1,1,3,0,1,0,True,28
5836,1,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,0,1,0,True,28
6827,1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,1,1,1,True,28
8854,0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,0,1,0,True,28
8887,0,2,36,2,0,12389,5,3,1,3,1,4,4,37,1,3,1,3,0,1,0,True,28
4493,1,1,6,2,0,1203,2,5,3,3,1,2,2,43,3,2,1,3,0,1,0,True,28
810,0,2,9,2,2,959,1,3,1,2,1,2,3,29,1,2,1,3,0,1,0,True,28
2326,1,1,30,0,2,4583,1,3,2,1,3,2,1,32,3,2,2,3,0,1,0,True,28
8594,1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,0,1,0,True,28
586,0,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,0,1,0,True,28
7741,1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,0,1,0,True,28
1693,1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,0,1,0,True,28
7516,1,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,0,1,0,True,28
3178,0,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,0,1,0,True,28
633,1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,0,1,0,True,28
7382,1,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,0,1,0,True,28
2585,0,2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,0,1,0,True,28
3600,1,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,3,0,1,0,True,28
2086,0,1,12,1,0,697,1,2,4,3,1,2,3,46,1,2,2,3,0,1,0,True,28
6957,1,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,0,1,0,True,28
6298,1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,0,1,0,True,28
6150,0,1,24,2,3,2439,1,2,4,2,1,4,1,35,3,2,1,3,0,1,0,True,28
370,1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,0,1,0,True,28
6414,0,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,0,1,0,True,28
9641,0,1,42,2,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,0,1,0,True,28
1892,1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,0,1,0,True,28
1164,0,1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,0,1,0,True,28
1647,0,1,36,3,9,2145,1,4,2,3,1,1,3,24,3,2,2,3,0,1,0,True,28
87,1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,0,1,0,True,28
6975,1,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,0,1,0,True,28
1754,1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,0,1,0,True,28
9195,1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,0,1,0,True,28
1245,1,2,12,2,9,1037,2,4,3,3,1,4,1,39,3,2,1,2,0,1,0,True,28
1597,1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,0,1,0,True,28
4957,1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,0,1,0,True,28
4253,1,1,12,2,2,2578,1,1,3,2,1,4,4,55,3,3,1,4,0,1,0,True,28
4043,1,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,0,1,0,True,28
9086,0,1,12,2,0,900,5,3,4,4,1,2,3,23,3,2,1,3,0,1,0,True,28
1508,1,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,0,1,1,True,28
5207,0,1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,0,1,0,True,28
7992,1,1,18,2,0,2249,2,4,4,3,1,3,3,30,3,2,1,4,1,1,0,True,28
2531,1,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,0,1,0,True,28
5301,1,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,0,1,0,True,28
6953,1,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,0,1,0,True,28
2948,1,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,0,1,0,True,28
6375,1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,0,1,0,True,28
7964,1,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,0,1,0,True,28
9041,1,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,0,1,0,True,28
3530,0,1,48,2,1,10297,1,4,4,3,1,4,4,39,3,3,3,3,1,1,0,True,28
667,1,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,0,1,0,True,28
1454,1,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,0,1,0,True,28
6395,1,4,24,2,2,5511,2,3,4,3,1,1,3,25,2,2,1,3,0,1,0,True,28
3072,1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,0,1,0,True,28
9639,1,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,1,1,0,True,28
5646,1,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,0,1,0,True,28
2259,1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,0,1,0,True,28
4889,0,1,36,2,0,1842,1,2,4,2,1,4,3,34,3,2,1,3,0,1,0,True,28
2713,1,1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,1,1,0,True,28
7424,0,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,0,1,0,True,28
4808,0,1,48,4,1,6331,1,5,4,3,1,4,4,46,3,3,2,3,0,1,0,True,28
2708,1,4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,0,1,0,True,28
2988,1,2,24,2,1,2760,5,5,4,3,1,4,4,36,1,3,1,3,0,1,0,True,28
6422,1,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,0,1,0,True,28
6323,1,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,0,1,0,True,28
4860,0,1,48,0,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,1,1,0,True,28
3754,1,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,0,1,0,True,28
7250,1,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,0,1,0,True,28
6992,1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,1,1,1,True,28
8006,0,1,27,0,9,5293,1,1,2,3,1,4,2,50,3,2,2,3,0,1,0,True,28
4342,0,4,36,2,2,10974,1,1,4,2,1,2,3,26,3,2,2,4,0,1,0,True,28
8165,0,4,36,3,9,9572,1,2,1,1,1,1,3,28,3,2,2,3,0,1,0,True,28
1072,1,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,0,1,0,True,28
5630,1,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,0,1,0,True,28
4281,1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,0,1,0,True,28
6870,0,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,0,1,0,True,28
5724,0,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,0,1,0,True,28
4452,1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,0,1,0,True,28
8308,1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,1,1,0,True,28
2851,0,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,0,1,0,True,28
2716,1,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,0,1,0,True,28
7565,1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,0,1,0,True,28
1040,0,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,0,1,0,True,28
890,0,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,0,1,0,True,28
9353,1,3,12,3,0,2247,1,3,2,2,1,2,3,36,2,2,2,3,0,1,0,True,28
363,0,2,24,4,3,1216,2,2,4,3,1,4,4,38,1,2,2,3,1,1,0,True,28
2576,1,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,0,1,0,True,28
8616,1,4,11,2,9,2142,4,5,1,1,1,2,1,28,3,2,1,3,0,1,0,True,28
2742,1,1,12,2,2,1620,1,3,2,2,2,3,2,30,3,2,1,3,0,1,0,True,28
1503,1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,0,1,0,True,28
7677,1,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,0,1,0,True,28
9553,1,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,1,1,0,True,28
7924,1,4,24,2,1,9277,5,3,2,1,1,4,4,48,3,3,1,3,0,1,0,True,28
9827,1,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,0,1,0,True,28
1012,1,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,0,1,0,True,28
6279,0,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,0,1,0,True,28
2575,1,4,6,4,0,362,2,3,4,2,1,4,3,52,3,2,2,2,0,1,0,True,28
5936,1,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,0,1,0,True,28
8233,0,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,0,1,0,True,28
7911,0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,0,1,0,True,28
7873,1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,0,1,0,True,28
8648,1,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,0,1,0,True,28
168,1,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,0,1,0,True,28
882,1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,0,1,0,True,28
4748,1,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,0,1,0,True,28
4470,1,1,24,2,2,3149,1,2,4,3,1,1,4,22,1,3,1,3,0,1,0,True,28
5934,1,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,0,1,0,True,28
9259,1,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,1,1,0,True,28
7202,0,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,0,1,0,True,28
7842,1,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,0,1,0,True,28
1483,1,4,15,4,3,1829,1,5,4,3,1,4,3,46,3,2,2,3,0,1,0,True,28
7976,1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,0,1,0,True,28
8589,1,4,24,2,1,5433,5,1,2,2,1,4,2,26,3,1,1,4,0,1,0,True,28
3255,1,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,0,1,0,True,28
1616,1,2,18,4,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,0,1,0,True,28
9284,1,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,0,1,0,True,28
8576,0,1,18,2,3,1345,1,3,4,4,1,3,1,26,3,2,1,3,0,1,0,True,28
3575,0,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,0,1,0,True,28
2295,1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,1,1,0,True,28
5869,1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,1,1,0,True,28
8211,1,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,0,1,0,True,28
2315,0,2,48,2,9,15672,1,3,2,3,1,2,3,23,3,2,1,3,0,1,0,True,28
8167,1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,0,1,0,True,28
8223,0,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,0,1,0,True,28
3370,1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,0,1,0,True,28
4588,0,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,0,1,0,True,28
2429,1,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,0,1,0,True,28
197,0,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,0,1,0,True,28
8518,1,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,1,1,0,True,28
1964,1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,0,1,0,True,28
3372,0,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,0,1,0,True,28
5461,1,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,0,1,0,True,28
3174,0,2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,0,1,0,True,28
826,1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,0,1,0,True,28
6698,1,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,0,1,0,True,28
1747,1,2,18,3,9,2427,5,5,4,3,1,2,2,42,3,2,2,3,0,1,0,True,28
5432,0,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,0,1,0,True,28
5972,1,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,0,1,0,True,28
2592,0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,0,1,0,True,28
8947,1,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,0,1,0,True,28
6537,0,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,0,1,0,True,28
4141,1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,1,1,0,True,28
8529,1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,0,1,0,True,28
3809,1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,0,1,0,True,28
5492,1,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,1,1,0,True,28
4162,1,4,12,4,2,3331,1,5,2,3,1,4,2,42,2,2,1,3,0,1,0,True,28
672,0,4,24,2,3,2397,3,5,3,3,1,2,3,35,1,2,2,3,0,1,0,True,28
1768,1,4,42,4,2,4041,3,3,4,3,1,4,1,36,3,2,2,3,0,1,0,True,28
9881,0,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,0,1,0,True,28
2265,1,2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,0,1,0,True,28
6912,0,2,48,0,9,14421,1,3,2,3,1,2,3,25,2,2,1,3,0,1,0,True,28
4556,1,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,0,1,0,True,28
8798,1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,0,1,0,True,28
6814,0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,0,1,0,True,28
6004,1,2,13,2,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,0,1,0,True,28
9708,1,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,0,1,0,True,28
990,1,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,1,1,0,True,28
7582,1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,1,1,0,True,28
104,1,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,0,1,0,True,28
5602,1,2,24,4,6,5743,1,2,2,2,1,4,4,24,3,3,2,3,0,1,0,True,28
3228,1,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,0,1,0,True,28
2066,1,4,18,2,3,2051,1,2,4,3,1,1,1,33,3,2,1,3,0,1,0,True,28
8313,0,3,12,1,9,609,1,2,4,2,1,1,1,26,1,2,1,1,0,1,0,True,28
4419,0,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,0,1,0,True,28
1060,1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,0,1,0,True,28
9597,1,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,0,1,0,True,28
3764,1,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,0,1,0,True,28
9933,1,3,15,2,6,1905,1,5,4,3,1,4,3,40,3,1,1,4,0,1,0,True,28
1090,1,3,42,0,9,6289,1,2,2,1,1,1,2,33,3,2,2,3,0,1,0,True,28
5170,1,2,12,4,0,958,1,4,2,3,1,3,1,47,3,2,2,2,1,1,0,True,28
3303,0,1,12,1,3,626,1,3,4,2,1,4,1,24,1,2,1,2,0,1,0,True,28
8257,1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,0,1,0,True,28
2261,0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,0,1,0,True,28
5399,0,1,12,2,0,900,5,3,4,4,1,2,3,23,3,2,1,3,0,1,0,True,28
7287,0,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,0,1,0,True,28
6307,1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,1,1,0,True,28
5479,1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,1,1,0,True,28
6696,0,2,12,2,0,1223,1,5,1,1,1,1,1,46,3,1,2,3,0,1,0,True,28
847,1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,0,1,0,True,28
2372,0,2,12,2,0,888,1,5,4,3,1,4,3,41,1,2,1,2,1,1,0,True,28
